rainfall_mm,temperature_c,relative_humidity_pct,avg_cpr,avg_ie,avg_lsprate,avg_rorwe,avg_tprate
8.842750935101993,31.394643504415225,22.378963868430187,4.7283113e-05,-3.764435e-05,2.8730963e-05,0.0,7.600932e-05
8.846787876450854,30.95173909690356,21.902949909381867,4.7283113e-05,-3.764435e-05,2.8730963e-05,0.0,7.600932e-05
7.347709096517951,29.582232290903484,20.45951336135426,4.7283113e-05,-3.764435e-05,2.8730963e-05,0.0,7.600932e-05
4.392728955385031,20.007792773686038,10.705643388732504,3.245933e-05,-3.9319228e-05,2.868748e-05,2.6555455e-05,6.114751e-05
2.7915358809239192,22.805699687656652,13.29883854548259,3.245933e-05,-3.9319228e-05,2.868748e-05,2.6555455e-05,6.114751e-05
2.5047426059460918,30.8973161608761,21.289283538348823,3.245933e-05,-3.9319228e-05,2.868748e-05,2.6555455e-05,6.114751e-05
2.4499641383565343,31.57961824702117,22.032863147341224,3.245933e-05,-3.9319228e-05,2.868748e-05,2.6555455e-05,6.114751e-05
2.4647422203370226,31.512848494196582,22.003035128986234,7.2461858e-06,-1.3150638e-05,3.452118e-06,2.545734e-07,1.0696971e-05
2.5033185516523346,32.97463810588825,23.443195927968226,7.2461858e-06,-1.3150638e-05,3.452118e-06,2.545734e-07,1.0696971e-05
2.56604403655574,33.27261597192766,23.827030810164654,7.2461858e-06,-1.3150638e-05,3.452118e-06,2.545734e-07,1.0696971e-05
2.6302807234026147,33.19372806848417,23.950606948675432,7.2461858e-06,-1.3150638e-05,3.452118e-06,2.545734e-07,1.0696971e-05
7.454513168549725,31.364500443450428,22.19336598156789,4.835422e-05,-4.004822e-05,3.2189364e-05,6.764556e-06,8.0542064e-05
7.261193845679251,28.062732811475726,18.87504646589288,4.835422e-05,-4.004822e-05,3.2189364e-05,6.764556e-06,8.0542064e-05
5.362036015887093,27.753028959241124,18.506550726873098,4.835422e-05,-4.004822e-05,3.2189364e-05,6.764556e-06,8.0542064e-05
3.0030104500057844,19.6614298384298,10.145159063741179,4.585514e-05,-4.2599182e-05,3.530601e-05,4.6055444e-05,8.116007e-05
2.627602668414761,28.67942852735896,18.81888674661628,4.585514e-05,-4.2599182e-05,3.530601e-05,4.6055444e-05,8.116007e-05
2.370844098253191,25.512266224501598,15.613231789611692,4.585514e-05,-4.2599182e-05,3.530601e-05,4.6055444e-05,8.116007e-05
2.2490583426522193,31.1697886862299,21.42559827247137,4.585514e-05,-4.2599182e-05,3.530601e-05,4.6055444e-05,8.116007e-05
2.3106485944549418,31.69839856553426,22.02884741449119,1.5319472e-05,-4.324659e-05,3.9344145e-06,2.7195333e-06,1.9251349e-05
2.3696413835653414,33.12177264489261,23.412942582809546,1.5319472e-05,-4.324659e-05,3.9344145e-06,2.7195333e-06,1.9251349e-05
2.4393163151197315,33.84371225851232,24.177234797362434,1.5319472e-05,-4.324659e-05,3.9344145e-06,2.7195333e-06,1.9251349e-05
2.6161836270389083,33.494551343847604,24.05409786758185,1.5319472e-05,-4.324659e-05,3.9344145e-06,2.7195333e-06,1.9251349e-05
2.9648467203948634,33.32067982878957,24.283197470404506,1.9195108e-05,-3.7654958e-05,3.3407166e-06,1.2256086e-06,2.2536777e-05
7.219043303898508,31.683334747233257,22.418739058342652,4.7111855e-05,-3.899929e-05,3.057915e-05,6.6035473e-06,7.76903e-05
6.253917788146377,31.08814059306675,21.87442524968187,4.7111855e-05,-3.899929e-05,3.057915e-05,6.6035473e-06,7.76903e-05
5.443831026105734,31.099726217560637,21.865935294798135,4.7111855e-05,-3.899929e-05,3.057915e-05,6.6035473e-06,7.76903e-05
3.6134774225889794,30.48241969691127,20.970941271738713,4.7111855e-05,-3.899929e-05,3.057915e-05,6.6035473e-06,7.76903e-05
2.0473466239925964,29.675415493772416,19.891780357073998,1.2444231e-05,-2.1469285e-05,1.1160859e-05,7.3487004e-06,2.3601915e-05
2.0527347395210733,30.436243782053754,20.49070566459723,1.2444231e-05,-2.1469285e-05,1.1160859e-05,7.3487004e-06,2.3601915e-05
1.940471985501099,30.554602629853854,20.57343809046389,1.2444231e-05,-2.1469285e-05,1.1160859e-05,7.3487004e-06,2.3601915e-05
